Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
Mastoidectomy (Canal Wall Down / Radical);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Mastoidectomy (Canal Wall Up / Modified Radical);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Stapedectomy;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Stapedotomy;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Ossiculoplasty (PORP / TORP Placement);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Cochlear Implantation;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Bone-Anchored Hearing Aid (BAHA) Implantation;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Endolymphatic Sac Decompression;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Labyrinthotomy / Labyrinthectomy;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Vestibular Nerve Section;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Excision of Glomus Tympanicum Tumor;Otolaryngology (ENT) & Head & Neck Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Excision of Glomus Jugulare Tumor;Otolaryngology (ENT) & Head & Neck Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Acoustic Neuroma Resection (Translabyrinthine / Retrosigmoid);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Functional Endoscopic Sinus Surgery (FESS);Otolaryngology (ENT) & Head & Neck Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis) ; Superior laryngeal nerve injury ; Carotid artery or internal jugular vein injury ; Pneumothorax";"Post-thyroidectomy neck hematoma / acute airway compromise ; Transient or permanent hypocalcemia (parathyroid injury) ; Post-tonsillectomy hemorrhage ; CSF leak (nasal/otologic)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D ; Permanent vocal cord paralysis / hoarseness ; Keloid / scar hypertrophy ; Nasal septum perforation or saddle nose deformity"
Polypectomy (Nasal);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Endoscopic Sinus Antrostomy (Maxillary);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Endoscopic Ethmoidectomy (Anterior / Posterior);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Endoscopic Sphenoidectomy;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Endoscopic Frontal Sinusotomy (Draf I / II / III);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Turbinate Reduction (Submucosal Resection / Radiofrequency);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Septoplasty;Otolaryngology (ENT) & Head & Neck Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis) ; Superior laryngeal nerve injury ; Carotid artery or internal jugular vein injury ; Pneumothorax";"Post-thyroidectomy neck hematoma / acute airway compromise ; Transient or permanent hypocalcemia (parathyroid injury) ; Post-tonsillectomy hemorrhage ; CSF leak (nasal/otologic)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D ; Permanent vocal cord paralysis / hoarseness ; Keloid / scar hypertrophy ; Nasal septum perforation or saddle nose deformity"
Septorhinoplasty;Otolaryngology (ENT) & Head & Neck Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis) ; Superior laryngeal nerve injury ; Carotid artery or internal jugular vein injury ; Pneumothorax";"Post-thyroidectomy neck hematoma / acute airway compromise ; Transient or permanent hypocalcemia (parathyroid injury) ; Post-tonsillectomy hemorrhage ; CSF leak (nasal/otologic)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D ; Permanent vocal cord paralysis / hoarseness ; Keloid / scar hypertrophy ; Nasal septum perforation or saddle nose deformity"
Nasal Valve Reconstruction;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Closed Reduction of Nasal Bone Fracture;Otolaryngology (ENT) & Head & Neck Surgery;"Inadvertent intraoperative fracture or cortical perforation ; Nerve injury (peroneal, sciatic, radial, or axillary nerve) ; Vascular injury (popliteal or femoral vessels)";"Deep vein thrombosis (DVT) or fatal pulmonary embolism (PE) ; Prosthetic joint infection (PJI) or surgical site infection ; Joint dislocation or instability ; Wound healing complications / hematoma";"Aseptic prosthetic loosening or osteolysis ; Periprosthetic fracture ; Heterotopic ossification ; Chronic joint stiffness or pain"
Open Reduction of Nasal Bone Fracture;Otolaryngology (ENT) & Head & Neck Surgery;"Inadvertent intraoperative fracture or cortical perforation ; Nerve injury (peroneal, sciatic, radial, or axillary nerve) ; Vascular injury (popliteal or femoral vessels)";"Deep vein thrombosis (DVT) or fatal pulmonary embolism (PE) ; Prosthetic joint infection (PJI) or surgical site infection ; Joint dislocation or instability ; Wound healing complications / hematoma";"Aseptic prosthetic loosening or osteolysis ; Periprosthetic fracture ; Heterotopic ossification ; Chronic joint stiffness or pain"
Endoscopic Dacryocystorhinostomy (Endo-DCR);Otolaryngology (ENT) & Head & Neck Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Endoscopic Repair of CSF Rhinorrhea;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Endoscopic Resection of Inverted Papilloma;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Endoscopic Resection of Juvenile Nasopharyngeal Angiofibroma (JNA);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Endoscopic Transsphenoidal Surgery;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Uvulopalatopharyngoplasty (UPPP);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Laser-Assisted Uvulopalatoplasty (LAUP);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Genioglossus Advancement;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Hyoid Suspension;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
